Citations,Tectonic Setting,Location,Rock Name,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,CAO,MGO,FEO
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,51.73,3.17,13.21,8.85,8.24,3.71,5.98
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,49.6,3.51,13.4,3.1,9.72,5.08,11.5
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,48.7,3.61,12.89,9.7,9.24,4.48,7.5
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,57.13,2.27,14.28,6.5,6.0,2.34,4.8
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,51.99,3.02,14.05,5.79,8.09,4.41,7.51
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,55.09,2.6,13.71,6.92,6.76,3.24,5.5
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,55.53,2.74,13.52,5.2,6.59,3.14,7.8
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,50.18,2.44,14.02,7.4,10.32,5.05,7.1
[1056][1055][1123],OCEAN ISLAND,ICELAND / ICELAND,"THOLEIITIC ANDESITE [1056] / BASALT [1055] / THOLEIITIC BASALT, QUARTZ [1123]",VOL,51.76,2.38,15.2,5.89,8.7,4.61,6.29
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,53.39,2.21,15.18,5.5,8.78,3.75,6.0
[1056][1055][1123],OCEAN ISLAND,ICELAND / ICELAND,"THOLEIITIC ANDESITE [1056] / BASALT [1055] / THOLEIITIC BASALT, QUARTZ [1123]",VOL,52.17,2.31,15.67,4.14,8.53,4.19,7.38
[1056][1055][1123],OCEAN ISLAND,ICELAND / ICELAND,"THOLEIITIC ANDESITE [1056] / BASALT [1055] / THOLEIITIC BASALT, QUARTZ [1123]",VOL,51.35,2.82,15.29,4.98,7.19,3.85,7.53
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,54.92,2.58,14.17,3.8,8.3,3.33,8.1
[2044][1056],OCEAN ISLAND,ICELAND / ICELAND,NOT GIVEN [2044] / THOLEIITIC ANDESITE [1056],VOL,61.8,2.1,10.6,8.45,4.51,1.83,2.99
[1056][1055][1123],OCEAN ISLAND,ICELAND / ICELAND,"THOLEIITIC ANDESITE [1056] / BASALT [1055] / THOLEIITIC BASALT, QUARTZ [1123]",VOL,51.54,3.16,12.79,6.85,9.46,4.62,6.74
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,49.66,2.75,13.62,6.21,10.47,5.46,8.07
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,54.71,2.65,13.98,5.0,7.02,3.17,7.0
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,50.95,3.66,13.87,5.4,9.01,4.44,8.28
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,49.2,4.05,13.83,6.2,7.6,4.64,8.3
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,49.63,3.3,14.73,5.96,8.84,4.81,7.66
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,51.92,2.87,14.67,5.0,9.32,4.07,8.2
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,49.46,2.98,14.72,5.6,10.39,4.89,8.2
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC BASALT [1056] / THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,49.01,2.9,13.54,16.2,10.29,8.03,9.6
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,56.99,1.88,13.47,4.19,6.13,2.31,8.58
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,53.56,2.61,14.35,5.34,8.13,4.17,6.98
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,50.47,3.2,14.64,6.21,9.42,4.14,7.55
[1056][1055],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056] / BASALT [1055],VOL,50.33,3.23,12.19,4.2,10.03,5.29,0.8
[11800][11855],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SHANXI PROVINCE / XIXIANG GROUP,BASALTIC-ANDESITE [11800] / THOLEIITIC ANDESITE [11855],VOL,53.54,1.7,13.24,6.88,5.26,4.59,7.35
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,52.93,2.66,13.8,3.09,6.6,3.17,8.8
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,47.39,2.41,16.05,3.45,7.25,5.19,8.51
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,48.85,2.69,15.01,3.3,6.67,5.83,8.32
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,54.21,2.1,15.0,3.45,7.13,3.61,5.61
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,49.3,2.73,14.5,4.92,6.32,3.63,7.23
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,54.2,2.1,14.6,3.63,7.8,4.15,6.38
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,54.93,2.18,15.62,2.97,7.39,3.78,6.79
[9650],INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP,THOLEIITIC ANDESITE [9650],VOL,53.52,2.04,13.97,3.44,7.29,4.43,6.53
[1669][2581][11626][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [1669] / THOLEIITIC ANDESITE [2581],VOL,49.49,0.8,15.82,7.22,10.52,8.42,5.36
[1669][2581][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [1669] / THOLEIITIC ANDESITE [2581],VOL,51.06,0.99,15.82,10.97,9.43,6.55,7.96
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,50.91,1.69,14.35,7.8,8.4,5.12,5.59
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,48.92,1.86,14.88,9.45,8.07,5.13,4.87
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,51.54,1.72,14.24,9.93,8.4,4.62,3.21
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,51.18,1.77,14.06,8.41,8.27,4.59,5.07
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,49.44,3.76,13.62,6.74,8.62,5.03,5.71
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,49.49,3.62,13.82,9.12,7.81,4.73,3.54
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,49.3,3.87,13.75,6.28,8.37,4.62,6.59
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,50.86,3.53,14.21,5.74,8.3,4.33,6.06
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,54.53,1.75,13.76,8.25,7.09,3.94,4.45
[1669][2581][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,57.57,1.48,13.66,5.34,5.87,2.61,5.67
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TURVO-BOM JESUS SEQUENCE,THOLEIITIC ANDESITE [1669],VOL,53.3,1.29,14.62,6.11,8.38,4.59,5.8
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE,THOLEIITIC ANDESITE [1669],VOL,53.16,1.42,14.91,2.22,8.42,5.23,9.39
[1669][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE,THOLEIITIC ANDESITE [1669],VOL,54.09,1.44,14.31,4.23,7.62,4.74,7.8
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC BASALT [2466],VOL,51.63,0.98,15.73,2.31,10.31,5.78,8.05
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALTIC-ANDESITE [2466],VOL,52.16,3.49,13.78,3.75,7.94,4.21,7.98
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,52.64,1.62,14.03,5.77,8.67,3.9,6.64
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC BASALT [2466],VOL,50.88,1.07,15.22,3.08,10.67,6.52,7.3
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,55.42,1.68,13.12,5.23,7.17,3.43,7.09
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,51.83,1.67,14.06,5.71,8.78,4.19,7.14
[1056],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,50.18,3.1,14.25,4.86,9.63,5.44,8.13
[1056],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,57.55,2.13,14.34,5.27,6.63,3.03,5.08
[1056],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,52.24,1.91,19.23,3.2,10.22,3.05,5.9
[1056],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1056],VOL,55.98,2.5,14.53,4.9,6.79,3.3,6.7
[8263],COMPLEX VOLCANIC SETTINGS,HYBLEAN (IBLEAN) PLATEAU,THOLEIITIC ANDESITE [8263],VOL,52.99,1.55,16.06,1.96,8.39,6.51,8.04
[1086],OCEAN ISLAND,ICELAND / ICELAND,THOLEIITIC ANDESITE [1086],VOL,51.94,2.44,13.52,5.38,6.97,3.41,8.27
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,49.73,1.01,15.43,4.23,11.23,5.69,6.21
[2581][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,49.9,1.32,14.41,7.08,10.72,5.85,5.6
[2581],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,49.36,1.59,14.53,4.13,10.07,5.57,7.29
[2581][2949],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581] / THOLEIITIC BASALT [2949],VOL,50.9,1.67,14.82,4.39,8.67,4.15,8.27
[2654][2581][2872],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [2654] / THOLEIITIC ANDESITE [2581] / THOLEIITIC BASALT [2872],VOL,52.62,3.39,14.19,3.81,8.55,4.79,7.51
[2654][2581][2872],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [2654] / THOLEIITIC ANDESITE [2581] / THOLEIITIC BASALT [2872],VOL,50.44,3.76,13.89,5.36,9.34,4.84,7.52
[2581][2952],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2581],VOL,49.72,3.52,13.53,5.1,8.52,4.35,7.26
[2654][2581][2872],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [2654] / THOLEIITIC ANDESITE [2581] / THOLEIITIC BASALT [2872],VOL,52.86,3.48,13.74,5.0,8.59,4.27,7.14
[2654][2581][2872],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [2654] / THOLEIITIC ANDESITE [2581] / THOLEIITIC BASALT [2872],VOL,52.21,3.41,14.24,4.33,8.35,4.52,7.39
[2654][2581][2872],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,BASALT [2654] / THOLEIITIC ANDESITE [2581] / THOLEIITIC BASALT [2872],VOL,51.7,2.02,14.3,4.48,9.49,4.24,9.72
[1635],OCEAN ISLAND,ICELAND / ICELAND / BREIDDALUR,THOLEIITIC ANDESITE [1635],VOL,54.0,2.07,12.6,4.1,6.4,2.8,9.49
[1635],OCEAN ISLAND,ICELAND / ICELAND / BREIDDALUR,THOLEIITIC ANDESITE [1635],VOL,56.3,2.1,13.5,4.5,6.4,2.8,6.98
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,51.25,1.35,14.56,8.93,8.53,5.44,3.53
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,54.15,1.22,15.1,5.48,7.59,4.77,5.61
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,52.97,1.69,14.77,6.68,8.18,4.59,5.36
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,49.49,3.85,13.92,6.88,8.47,4.42,6.09
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [1669],VOL,50.07,3.86,13.38,6.18,8.62,4.46,6.42
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TURVO-BOM JESUS SEQUENCE,THOLEIITIC ANDESITE [1669],VOL,52.51,1.47,14.74,5.95,8.03,4.66,6.16
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TURVO-BOM JESUS SEQUENCE,THOLEIITIC ANDESITE [1669],VOL,54.67,1.19,14.84,4.66,7.35,4.57,6.57
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TURVO-BOM JESUS SEQUENCE,THOLEIITIC ANDESITE [1669],VOL,53.31,1.46,14.74,4.1,7.9,4.51,8.03
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TURVO-BOM JESUS SEQUENCE,THOLEIITIC ANDESITE [1669],VOL,51.24,3.32,14.85,7.54,8.03,5.33,3.66
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TURVO-BOM JESUS SEQUENCE,THOLEIITIC ANDESITE [1669],VOL,56.54,1.66,14.16,4.99,6.13,3.54,6.31
[1669],CONTINENTAL FLOOD BASALT,PARANA / NORTHERN PARANA PROVINCE,THOLEIITIC ANDESITE [1669],VOL,50.48,2.07,14.86,4.72,9.01,5.31,8.04
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE,THOLEIITIC ANDESITE [1669],VOL,53.91,2.8,14.19,3.85,7.93,4.83,6.26
[1669],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE,THOLEIITIC ANDESITE [1669],VOL,52.24,3.39,14.5,6.25,7.65,4.82,4.73
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,52.53,1.29,14.38,4.06,8.85,5.03,7.93
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,53.63,1.8,14.06,3.37,8.31,2.99,8.76
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,54.21,1.43,13.61,4.58,7.99,4.74,7.2
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,52.95,1.75,13.52,4.77,7.93,4.13,7.9
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,53.11,1.63,13.71,4.03,8.67,4.39,8.83
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,52.04,1.65,13.56,5.71,9.24,4.53,6.98
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,53.1,1.64,13.66,4.55,8.91,4.4,7.24
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,58.76,1.42,11.27,2.32,7.5,3.95,8.17
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,55.95,1.7,13.34,4.93,5.7,3.91,6.78
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,57.48,1.39,13.64,3.24,6.8,3.6,7.19
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,57.46,1.68,14.1,3.38,6.51,1.99,7.21
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,51.56,1.45,14.8,3.73,8.68,4.23,8.37
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,51.75,1.46,14.89,3.4,10.14,4.64,7.37
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,55.77,1.73,13.49,3.94,6.27,4.98,8.07
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / GRAMADO FORMATION,THOLEIITIC ANDESITE [2466],VOL,51.53,1.22,15.41,3.22,9.34,4.83,7.74
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,55.62,1.43,13.7,3.74,7.34,3.95,7.79
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,54.95,1.34,13.54,3.98,8.13,4.47,7.8
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,53.59,1.37,13.81,4.23,8.32,4.19,7.7
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,53.87,1.57,13.57,4.29,8.15,4.35,8.31
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,53.37,1.6,13.69,4.81,8.24,4.27,7.86
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,53.05,1.6,13.83,5.41,8.18,4.37,7.41
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,56.4,1.65,13.52,5.57,6.18,3.33,6.14
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / ESMERALDA BASALT,THOLEIITIC ANDESITE [2466],VOL,51.72,1.28,14.68,4.35,9.55,4.83,7.49
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,54.22,1.12,15.35,2.96,8.67,4.95,6.63
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,54.09,1.19,14.93,3.49,8.45,5.4,6.6
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,55.4,1.41,13.26,4.37,7.25,4.0,7.77
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,55.63,1.61,13.4,3.48,7.35,2.71,8.83
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,52.42,1.41,14.7,4.42,8.44,3.61,8.05
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,55.5,1.43,13.82,3.52,7.49,3.93,7.97
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,51.87,1.08,15.35,3.5,9.52,5.14,7.2
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,52.19,1.33,15.06,4.68,9.41,4.61,5.97
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,56.28,1.61,12.72,4.47,6.67,3.04,7.83
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,55.1,1.65,14.62,3.97,7.59,2.37,8.7
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,51.33,1.79,15.5,3.3,9.35,4.83,7.42
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,53.18,1.32,14.34,4.39,8.93,4.53,7.08
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / TERRA DE AREIA-ARATINGA SERIES,THOLEIITIC ANDESITE [2466],VOL,55.46,0.95,13.2,3.68,8.06,4.33,7.71
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,58.11,1.76,12.29,3.0,6.0,2.15,9.4
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,52.71,1.3,16.11,5.35,8.45,3.65,5.19
[2466],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE / BARRA DO OURO-MORRINHOS SERIES,THOLEIITIC ANDESITE [2466],VOL,57.82,1.71,12.3,3.45,6.04,2.06,8.76
