DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
38.25,,12016.17,38323.63,84597.33,5590.51,9457.04,302321,1718.8,,250.29,8260.52,20.88,,12.06,26.91,1696.09,42.31,2.79,93.96,,15.17,
38.06,,9244.03,28794.63,70401.11,5437.71,7239.9,329121.94,1764.02,,306.1,7621.32,,,29.5,20.05,1942.06,34.94,2.17,105.17,,16.58,
37.86,,9844.1,40904.07,84671.31,37706.61,9989.95,279391.31,1679.2,,293.38,12725.43,25.55,7.41,39.67,29.8,1651.42,44.86,3.29,96.43,,15.59,
37.66,,11275.34,26575.49,66891.52,7879.38,6138.01,335043.03,1568.87,,299.81,8139.07,,12.8,13.36,17.08,2175.13,36.02,2.56,79.98,,20.55,
37.47,,13471.88,33089.39,74227.48,7567.08,8096.58,321953.88,770.97,,315.02,8676.33,23.53,,13.26,20.99,2088.11,42.2,2.52,120.8,,15.57,
37.27,,10089.08,37181.58,81762.49,6481.56,10032.32,302987.16,1100.89,,332.99,8501.71,15.49,,10.74,27.77,1883.87,45.02,3.04,78.3,,14.39,
37.07,1.7026,10184.9,33099.47,71884.84,18379.54,8624.49,294062.88,982.56,,283.14,10084.73,,,22.51,23.86,1969.93,41.44,2.48,21.1,,13.85,
36.88,,7583.44,37845.93,77515.51,11900.56,8970.21,302036.19,1134.65,,364.89,9445.69,20.45,,20.71,25.38,1994.35,45.4,2.68,77.52,,13.52,
36.68,,13458.42,40197.96,87072.78,6751.89,10619.7,295607.94,1033.75,,380.16,9390.47,,,12.99,28.45,1809.95,47.15,3.71,69.77,,13.27,
36.48,,14016.28,44558.98,95429.7,28801.26,13115.85,260984.8,1138.9,,313.21,10634.2,,,9.62,38.21,1501.44,54.02,4.73,81.42,,10.78,
36.29,,7395.74,29136.71,66769.13,19771.71,7146.36,329704.47,892.96,,311.84,9565.97,12.55,,27.13,19.9,2072.28,37.2,2.39,43.2,,14.54,
36.09,,15669.2,42185.21,83970.12,6487.23,9119.79,321921.84,1362.37,,363.44,8937.97,24.82,7.46,11.64,25.96,1933.05,39.43,2.94,86.33,,13.55,
35.89,,20237.3,44482.8,88393.44,5673.04,9900.51,313414.13,1251.65,,345.93,8889.86,27.76,,7.87,27.97,1891.12,46.38,3.62,74.59,,10.62,
35.70,,16262.78,31418.46,66467.43,5648.16,6966.49,355517.31,801.34,,365.63,7414.46,22.45,,22.14,18.77,2087.33,33.75,1.8,59.56,,8.71,
35.50,,11731.47,34871.66,75662.64,6351.56,9063.95,319250.44,1163.65,,379.63,7723.18,,,13.64,23.66,1914.76,35.96,2.31,16.8,,10.43,
35.30,,14469.9,43552.77,84577.06,7923.18,9534.73,319143.34,1549.77,,366.07,8708.39,23.6,,11.3,28.25,1934.88,40.98,2.57,90.98,,16.19,
35.11,1.5913,14890.77,43310.48,88011.06,5649.57,10931.48,301568.78,1918.35,,343.65,9014.34,,,16.26,32.19,1776.05,41.98,3.41,74.72,,17.76,
34.91,,8915.46,30148.75,67189.24,4326.25,7245.58,341137.81,962.33,,259.01,7337.88,,,10.24,20.74,1986.63,30.17,2.77,53.15,,12.88,
34.71,,5735.24,29193.77,60539.9,4012.92,8204.99,346286.19,1409.81,,400.52,7439.44,,,,24.47,1779.61,27.05,2.01,6.9,,16.51,
34.51,,11855.24,54182.93,101751.97,6060.89,12624.57,288773.72,1600.46,,298.2,10295.93,16.76,,,37.03,1756.95,51.32,3.3,96.4,,15.76,
34.32,,9516.97,42788.93,93144.67,5833.18,10792.24,300242.19,1436.88,,399.31,10311.76,,,26.56,30.04,1816.08,45.14,3.39,80.02,,14.99,
