DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
15.16,1.8835,14069.29,56943.23,116231.32,15402.55,14660.23,242740.95,1638.32,,314.39,25879.39,32.28,,33.9,44.36,1568.34,56.59,3.91,102.02,,20.82,
14.96,,9793.82,57603.8,126156.45,3618.24,17062.62,224384.77,1857.5,,294.24,13334.45,,,20.36,53.65,1426.62,64.52,5.95,91.47,,16.98,
14.76,,15080.57,59050.43,121594.51,5689.18,13787.95,260329.16,2097.42,,222.27,12494.15,23.35,,37.52,45.02,1803.73,56.41,3.29,150.97,,20.76,
14.57,,11931.68,47754.47,100321.75,15237.58,11947.79,284959.25,2069.37,,358.4,10770.69,23.57,,7.4,38.69,1784.02,42.73,3.8,65.15,,18.62,
14.37,,17616.35,59227.13,103506.03,5649.94,13143.88,294477.63,2191.08,,349.18,11337.6,39.44,,13.99,41.2,1674.6,50.49,3.75,92.68,,20.61,
14.17,,18119.24,55937.71,120283.9,3777.77,12952.46,267302.59,2068.67,,371.41,11489.39,,,5.17,40.85,1633.44,56.42,4.04,44.4,,15.01,
13.98,,13097.99,50293.55,104059.49,5369.77,11737.3,294066.97,1800.32,,328.17,10422.65,14.59,,,35.04,1845.12,49.17,3.85,41.7,,16.47,
13.78,,16203.32,42051.82,89883.95,4235.87,9896.23,308512.38,1916.49,,375.96,9428.26,22.28,,15.05,29.82,1846.22,38.44,3.06,65.7,,18.12,
13.58,,17045.21,56238.33,112825.81,4947.21,13115.69,278106.53,2136.52,,303.19,11199.51,28.4,,22.02,39.37,1712.79,50.28,3.88,79.49,,19.78,
13.39,,12989.58,36435.51,97735.95,8022.99,8488.78,295015.97,1864.61,,436.63,14614.48,,,24.38,19.13,1922.57,43.36,2.32,28.2,,18.31,
13.19,1.7843,9956.84,51226.57,92522.52,4026.44,11793.65,310802.38,1981.8,,348.98,9606.42,25.59,,16.35,35.78,1774.74,44.22,3.36,55.91,,15.95,
12.99,,5793.74,30278.56,70579.86,4733.09,8125.48,336324.09,2109.64,,447.49,8352.71,,,9.27,24.17,1927.4,22.61,2.14,7.7,,16.71,
12.80,,15321.86,44512.83,98460.31,4282.92,9414.31,310158.03,1958.72,,376.12,9775.94,28.92,,14.96,27.55,1939.47,39.05,3.12,32.9,,20.02,
12.60,,14843.91,38062.58,94346.84,5784.08,8158.13,312443.78,1880.4,,334.23,10119.7,26.75,,18.46,24.26,1979.04,37.37,2.29,51.64,,17.75,
12.40,,12107.41,43272.36,100122.2,5096.1,9688.54,293577.72,2011.97,,383.91,10485.64,27.32,,17.27,28.27,1871.52,50.02,2.75,76.42,,19.44,
12.20,,12669.57,33313.25,97285.51,5294.92,8045.61,313078.22,1971.38,,456.67,10340.06,,,23.88,21.6,2031.23,46.4,2.67,15.5,,23.19,
12.01,,17934.22,43087.54,86877.45,5609.74,9264.51,318148.72,1774.69,,545.99,9353.34,,,15.6,28.32,2036.38,37.61,2.56,,,20.25,
11.81,,16447.25,44016.97,93210.43,5468.69,9869.68,306688.34,1881.11,,393.26,9490.61,16.85,,19.11,29.32,1935.3,40.86,3.65,64.04,,17.1,
11.61,,13144.9,36186.73,76428.95,4557.87,7778.97,345141,1670.04,,363.87,7797.58,33.98,,12.32,22.35,2073.97,31.06,1.92,78,,21.16,
11.42,,9905.52,31808.24,64858.35,4024.52,6922.25,362429,1768.3,,316.94,7622.33,41.5,,15.1,19.88,2110.33,24.82,,68.33,,19.14,
11.22,2.3875,12118.07,35856.91,84165.88,5617.24,8066.31,326248.28,1704.54,,285.65,8696.29,23.04,,11.01,23.33,2002.86,38.61,2.26,134.14,,18.02,
11.02,,17435.14,31369.22,83160.92,7622.22,7473.8,317403.84,1465.64,,337.71,10850.66,19.43,10.07,27.24,21.07,1972.85,34.17,2.6,52.44,,18.39,
10.83,,11004.6,32321.41,85497.09,8788.13,7831.15,306610.25,1588.76,,366.11,11251.75,19.37,8.29,28.14,22.27,1935.66,36.2,2.75,57.66,,16.9,
10.63,,12564.6,42331.31,89667.16,7062.1,10198.58,303891,1722.82,,420.69,10214.69,39.82,9.11,17.19,28.8,1819.08,44,3.05,83.34,,16.19,
10.43,,6021.88,32894.92,77259.63,13353.3,9415.66,310283.88,1594.74,,346.83,9250.91,18.34,,12.82,26.21,1852.49,38.39,3.18,58.25,,10.85,
10.24,,11402.48,38297.82,92884.23,10147.58,9788.07,293294.22,1558.28,,455.35,11385.6,,,16.18,27.03,1795.4,49.55,3.56,32.4,,11.51,
10.04,,16514.8,40987.45,95826.88,7322.53,9652.41,300526.47,2040.69,,407.1,10161.63,,,21.11,27.5,1816.93,46.88,3.21,26.6,,15.87,
9.84,,14841.36,42784.67,115506.5,6330.1,10671.45,277894.44,1205.1,64.75,373.32,7027.74,93.64,18.28,27.16,40.53,1714.52,48.68,4.26,,6.84,2.86,
9.65,,15293.2,45177.47,114526.07,6866.23,11966.87,277646.59,1183.09,62.99,346.43,10668.62,94.82,,27.31,46.6,1679.46,55.72,4.78,,8.62,2.74,
9.45,,12782.43,39953.82,109210.29,7904.83,16383.14,286345.31,1084.74,81.75,427.28,10552.65,114.79,25.68,28.78,37.71,1731.21,48.61,4.02,,,3.07,
9.25,,17487.97,47440.24,118391.25,7571.63,11767.51,283327.16,1293.07,100.62,407.63,7388.5,92.44,21.94,53.69,46.03,1689.76,52.63,4,,6.67,4.8,
9.06,1.0594,16485.46,37826.02,103845.41,7670.34,10912.54,289126.91,1180.19,74.81,422.58,7323.86,97.54,15.56,26.34,43.64,1787,44.93,4.85,,,3.68,
8.86,,15372.48,34452.15,106004.81,8451.18,15060.61,284448.84,975.76,104.08,414.79,7211.13,97.55,19.3,31.52,33.51,1738.23,49.87,4.58,,,3.55,
8.66,,12394,38677.36,101705.02,6024.94,10385.58,294847.5,1080.66,119.19,474.73,6583.56,114.54,29.54,24.2,40.65,1820.61,47.16,4.22,,6.64,5.35,
8.46,,14611.85,34337.06,98000.09,13216.52,16401.64,300036.66,1124.98,,476.52,6374.61,107.96,21.04,27.62,34.95,1908.49,48.7,4.58,,,4.3,
8.27,,15871.17,33676.14,102381.34,5187.71,14226.07,310121.09,1000.92,113.45,418.75,5721.27,111.35,25.48,25.53,27.79,1910.9,47.56,4.4,,,3.12,
8.07,,12743.02,35714.16,102147.71,11947.28,10646.96,281655.47,1015.76,88,404.62,5765.48,117.12,22.84,24.27,41.28,1633.96,48.75,3.99,,,3.33,
7.87,,14558.1,39826.77,101966.7,7150.12,17077.56,293441.94,1125.21,63.01,416.6,6994.98,115.77,24.8,32.25,38.42,1798.96,51.95,4.24,,,4.01,
7.68,,15821.13,38324.43,103096.6,5610.08,16906.06,301870.88,1075.14,66.01,384.67,6377.86,112.18,24.88,26.79,38.99,1784.01,45.94,3.78,,,4.18,
7.48,,14525.23,38104.6,103580.84,6485.14,10051.77,300080.75,1047.82,90.84,451.36,6579.11,120.35,13.31,31.38,38.96,1749.46,48.19,3.98,,6.49,4.68,
7.28,,14425.29,34077.82,93082.2,5278.46,15070.93,314214.66,971.07,,497.19,6104.46,119.52,23.07,57.24,33.97,1871.69,44.44,4.41,,9.01,3.01,
7.09,0.952,14596.94,35582.88,97260,9048.66,17071.7,315834.09,1068.46,65.55,384.45,7408.42,46.65,,41.05,37.48,1845.47,35.44,5.07,,,2.28,
6.89,,15128.43,35591.37,105073.06,4902.93,16227,304996.56,1099.46,52.53,418.84,6327.71,105.38,18.51,26.25,34.9,1784.32,42.21,4.19,,,3.65,
6.69,,16064.15,35037.81,104295.56,4839.58,16109.74,308265.75,1011.59,,452.92,6341.79,115.68,16.32,28.41,35.43,1798.5,43.4,4.56,,8.9,3.17,
6.50,,15443.57,38101.95,101804.9,4180.56,10096.16,305783,1051.02,94.42,418.75,5515.46,87.51,19.67,24.64,40.41,1755.04,47.15,4.29,,6.56,3.11,
6.30,,15134.69,35870.41,101407.92,4490.49,16146.34,317319.09,995.46,37.36,288.21,5806.75,67.03,12.52,33.7,36.24,1806.59,41.55,4.47,,,2.55,
6.10,,17021.22,36529.67,122843.13,4785.57,15393.56,285067.72,1092.31,47.83,388.98,7127.33,76.58,15.98,37.19,32.26,1724.62,69.27,3.93,,,,
5.91,,17330.04,38554.48,122337.23,4932.58,16166.45,289056.63,1195.39,43.21,431.57,6483.74,120.3,26.49,27.87,34.94,1732.44,56.58,5.09,,,4.28,
5.71,,14387.05,34681.5,106118.72,4966.48,14392.41,308610.31,1016.49,38.67,413.93,5512.12,111.1,20.8,27.23,29.48,1854.72,43.25,4.66,,9.37,2.45,
5.51,,13000.53,56133.8,145519.44,17163.47,16570.83,216797.41,1741.86,58.63,318.18,11281.03,109.53,26.41,91.93,68.64,1195.76,73.58,6.09,,,7.33,
5.31,,17089.87,51676.21,118568.79,5354.01,12931.79,284714,1408.41,63.76,368.27,5343.29,106.85,19.29,30.21,48.72,1624.12,53.01,5.71,,6.16,4.99,
5.12,,13179.82,27937.16,93855.47,4137.05,12663.07,318839.59,881.34,,405,4987.12,99.31,18.47,24.22,26.65,1945.54,43.32,4.4,,9.44,3.24,
4.92,2.0653,15729.18,29947.15,98561.61,5553.51,12926.44,316810.72,923.55,,457.57,6121.52,128.28,17.56,30.28,28.11,1954.32,44.23,4.33,,,1.5,
4.72,,13162.08,26333.21,87582.84,4205.65,6503.18,336537.44,808.69,,441.06,5033.83,108.43,17.36,22.34,24.12,2081.69,39.84,3.83,,8.44,2.32,
4.53,,15580.24,33350.59,103534.21,5614.47,14003.75,314678.72,990.23,,431.84,5749.41,122.31,21.21,55.21,29.74,1964.31,46.26,4.63,,6.2,2.53,
4.33,,20150.62,47939.05,124192.26,6441.58,11283.75,301755.25,1328.32,62.86,295.86,6899.92,36.27,,28.08,45,1822.4,52.24,5.92,,,2.2,
4.13,,15685.27,35981.29,101228.14,4649.91,16709.71,315902.34,1006.18,,476.46,5773.96,112.63,20.46,31.8,34.93,1907.91,42.17,4.58,,,2.93,
3.94,,13642.41,30500.02,95542.13,3589.46,6991.56,333470.88,874.09,,440.94,4585.44,134.69,16.46,23.6,26,2048.56,34.86,3.83,,8.13,3.81,
3.74,,14367.59,34412.32,112503.26,4966.47,14567.45,301040.84,1027.62,55.7,425.68,6154.91,105.06,18.09,25.27,32.54,1839.6,50.29,4.16,,9.81,3.86,
3.54,,15664.65,40794.23,121614.7,7765.82,12092.06,259565.8,1146.56,53.6,334.48,7301.11,78.7,18.22,35.16,47.2,1551.75,59.14,4.45,,,4.73,
3.35,,14492.43,35072.57,102032.63,4404.84,16595.7,309721.09,1074.33,,369.58,6045.19,87.7,17.3,49.03,35.46,1964.77,41.03,4.27,,7.5,4.6,
3.15,,19324.66,42091.5,120680.74,5581.97,10153.82,290843.97,1206.18,52.11,380.78,7265.24,97.59,,28.99,39.62,1808.25,49.13,5.59,,,2.41,
2.95,1.0061,16533.5,40504.73,119989.18,5428.71,16933.68,289150.88,1165.08,39.12,352.91,6432.19,91.12,13.6,31.2,39.6,1788.8,53.73,4.42,,,4.57,
2.76,,16880.63,42075.72,114312.53,7315.68,11466.74,283138.69,1216.66,51.2,363.93,6529.04,109.88,21.69,26.2,45.64,1736.05,50.19,4.6,,8.42,4.2,
2.56,,16606.34,40685.34,110218.87,5396.6,10575.07,293970,1083.6,113.07,419.53,7455.7,114.73,24.22,18.29,40.96,1826.19,50.03,4.64,,,5.59,
2.36,,18692.8,43658.28,129585.38,5231.58,12284.63,255395.03,1420.46,64.01,423.14,10064.49,103.75,27.03,48.57,50.82,1652.48,65.51,4.99,,,4.77,
2.17,,28143.85,61297.36,155853.19,9128.59,12460.47,265803.97,2705.58,60.22,489.63,12645.85,127.6,26.05,35.64,40.04,1990.23,44.09,4.46,,6.54,4.33,
1.97,,21359.95,48177.4,124318.05,5768.69,11379.74,285716.22,1290.79,58.16,330.58,10535.73,71.77,14.56,28.11,47.99,1790.82,55.78,4.92,,,3.64,
1.77,,13912.32,37959.31,113254.53,4642.32,11022.36,285275.38,1162.2,102.68,397.26,5823.31,113.41,22.46,26.51,46.68,1707.46,48.66,4.36,,,4.57,
1.57,,16015.67,49268.34,142715.98,9121.93,13097.8,245045.75,1264.21,92.78,322.26,10435.53,107.58,19.19,21.87,53.52,1461.2,62.33,4.58,,6.4,4.24,
1.38,,15106.24,38863.05,125187.59,18617.72,11651.73,262321.03,1252.54,91.36,331.39,6553.14,119.15,22.24,27.17,48.9,1598.64,55.53,4.51,,10.63,4.24,
1.18,2.1255,16440.56,42505.22,110707.02,4090.15,10766.71,306556.47,1067.9,58.84,332.83,5865.81,70.57,15.46,22.19,43.44,1822.91,38.79,4.68,,,2.98,
0.20,2.1902,17202.83,44611.37,129567.16,18529.7,13113.48,245100.7,1434.03,74.21,396.13,10460.22,103.01,28.81,31.25,50.42,1518.35,66.6,4.97,,,6.56,
-1.28,2.13,6377.62,3817.67,11541.72,1386.54,674.05,423319.31,468.64,,329.97,952.77,141.41,16.23,19.74,2.66,527.27,4.97,,,11.59,3.47,
-2.36,,18581.79,65701.66,127049.69,5299.83,15069.52,270692.09,1727.03,77.76,343.8,7237.33,112.62,21.78,52.02,48.57,541.72,57.25,4.7,,8.19,4.23,
-2.66,,18735.21,73957.39,137339.63,13920.69,14511.16,278741,1825.87,76.66,372.93,6577.92,124.98,19.32,47.89,52.81,647.09,62.3,5.25,,,6.78,
-3.81,1.5087,32207.42,74884.59,154050.11,9718.26,12487.15,276541.53,2065.32,91.18,410.35,14151.21,115.07,28.73,30.71,27.15,987.52,34.81,3.53,,7.67,5.42,
-5.61,1.2723,29733.95,127137.26,244590.56,12207.68,26063.07,133346.17,3083.91,60.53,279.73,19161,93.32,16.21,39.34,92.77,644.09,103.57,12.12,,8.65,6.89,
-5.97,,34788.61,64333.24,138108.39,3120.37,13296.49,249565.28,1573.09,76.6,366.35,12404.07,105.83,15.7,19.35,52.64,940.98,61.12,5.34,,7.49,5.84,
-6.69,1.8379,21986.79,97418.13,187698.08,35012.33,19714.55,193903.86,2246.65,85.23,350.47,12674.03,124.34,18.31,31.46,70.27,823.17,63.82,6.62,,10.06,7.08,
-6.99,,16773.43,93173.91,208192.17,24702.12,26977.46,86636.17,4516.78,132.75,199.13,19592.02,74.29,20.01,35.63,59.62,438.04,161.02,12.03,,5.06,14.24,
-8.01,1.505,13629.66,84759.93,183340.95,7201.96,24050.28,157189,2981.43,92.65,281.83,16514.11,88.95,20.18,37.91,43.74,535.21,108.53,8.38,,,10.39,
-9.06,,14889.7,73004.26,155961.77,5242.41,20532.57,202124.77,2488.6,104.83,215.87,13775.15,87.6,13.32,29.57,87.57,734.04,89.82,7.1,,,6.99,
-9.22,,12628.45,69745.86,151486.95,5240.91,21697.41,197700.17,2506.25,122.28,226.69,13210.7,82.21,15.86,24.97,90.57,765.57,88.09,7.64,,7.45,10.43,
-9.68,1.144,12427.18,61219,168915.2,4907.19,14855.49,238167.53,2007.45,95.63,269.28,10249.34,111.77,19.21,118.84,66.28,882.71,66.4,5.2,,8.8,6.69,
